Year,HadCRUT4 upper limit:number,HadCRUT4 lower limit:number,MEAN,ERA5:number,GISSTEMP:number,NOAA Global Temp:number,Type:text
1850,0.16,-0.27,-0.05,,,,Global annual
1851,0.3,-0.11,0.1,,,,Global annual
1852,0.29,-0.11,0.09,,,,Global annual
1853,0.25,-0.15,0.05,,,,Global annual
1854,0.25,-0.11,0.07,,,,Global annual
1855,0.22,-0.13,0.05,,,,Global annual
1856,0.14,-0.22,-0.04,,,,Global annual
1857,0.03,-0.32,-0.14,,,,Global annual
1858,0.03,-0.32,-0.15,,,,Global annual
1859,0.21,-0.15,0.04,,,,Global annual
1860,0.15,-0.21,-0.02,,,,Global annual
1861,0.12,-0.29,-0.09,,,,Global annual
1862,0.01,-0.42,-0.2,,,,Global annual
1863,0.26,-0.18,0.04,,,,Global annual
1864,0.03,-0.38,-0.17,,,,Global annual
1865,0.26,-0.19,0.04,,,,Global annual
1866,0.28,-0.15,0.07,,,,Global annual
1867,0.21,-0.21,0,,,,Global annual
1868,0.28,-0.13,0.08,,,,Global annual
1869,0.24,-0.13,0.06,,,,Global annual
1870,0.21,-0.13,0.04,,,,Global annual
1871,0.16,-0.19,-0.01,,,,Global annual
1872,0.26,-0.08,0.09,,,,Global annual
1873,0.18,-0.15,0.02,,,,Global annual
1874,0.11,-0.21,-0.05,,,,Global annual
1875,0.08,-0.24,-0.07,,,,Global annual
1876,0.09,-0.22,-0.06,,,,Global annual
1877,0.4,0.09,0.25,,,,Global annual
1878,0.51,0.2,0.36,,,,Global annual
1879,0.24,-0.06,0.09,,,,Global annual
1880,0.24,-0.06,0.09,,0.04,0.08,Global annual
1881,0.27,-0.03,0.12,,0.12,0.13,Global annual
1882,0.25,-0.04,0.11,,0.11,0.12,Global annual
1883,0.16,-0.11,0.02,,0.03,0.05,Global annual
1884,0.04,-0.22,-0.09,,-0.07,-0.02,Global annual
1885,0.07,-0.21,-0.07,,-0.09,-0.03,Global annual
1886,0.08,-0.18,-0.05,,-0.1,-0.01,Global annual
1887,0.03,-0.23,-0.1,,-0.13,-0.06,Global annual
1888,0.14,-0.12,0.01,,0.04,0.04,Global annual
1889,0.28,0.01,0.15,,0.11,0.09,Global annual
1890,0.04,-0.24,-0.1,,-0.15,-0.13,Global annual
1891,0.13,-0.16,-0.01,,-0.01,-0.06,Global annual
1892,0,-0.28,-0.13,,-0.05,-0.11,Global annual
1893,-0.02,-0.3,-0.15,,-0.1,-0.12,Global annual
1894,0.05,-0.23,-0.09,,-0.09,-0.08,Global annual
1895,0.06,-0.21,-0.07,,-0.01,-0.03,Global annual
1896,0.27,-0.01,0.13,,0.11,0.11,Global annual
1897,0.25,-0.03,0.11,,0.1,0.08,Global annual
1898,0.04,-0.23,-0.09,,-0.06,-0.06,Global annual
1899,0.17,-0.11,0.03,,0.03,0.08,Global annual
1900,0.25,-0.02,0.12,,0.13,0.13,Global annual
1901,0.2,-0.08,0.06,,0.06,0.06,Global annual
1902,0.05,-0.22,-0.08,,-0.08,-0.05,Global annual
1903,-0.03,-0.3,-0.16,,-0.17,-0.14,Global annual
1904,-0.07,-0.34,-0.2,,-0.27,-0.22,Global annual
1905,0.07,-0.19,-0.06,,-0.07,-0.09,Global annual
1906,0.17,-0.09,0.04,,-0.01,-0.02,Global annual
1907,-0.02,-0.28,-0.14,,-0.18,-0.17,Global annual
1908,-0.07,-0.32,-0.19,,-0.21,-0.24,Global annual
1909,-0.08,-0.33,-0.2,,-0.25,-0.23,Global annual
1910,-0.05,-0.3,-0.17,,-0.21,-0.18,Global annual
1911,-0.1,-0.35,-0.22,,-0.21,-0.23,Global annual
1912,0,-0.24,-0.12,,-0.14,-0.13,Global annual
1913,0.02,-0.23,-0.1,,-0.13,-0.12,Global annual
1914,0.2,-0.05,0.08,,0.06,0.06,Global annual
1915,0.31,0.04,0.18,,0.1,0.13,Global annual
1916,0.07,-0.2,-0.06,,-0.11,-0.09,Global annual
1917,-0.01,-0.29,-0.15,,-0.22,-0.11,Global annual
